city_name,clouds,humidity,lat,lon,temp,wind_speed
Yellowknife,75,64,77.07933879177907,-106.53241037087088,33.8,9.17
Jamestown,32,96,-38.36641231308112,-4.330239073163426,62.75,4.09
Mataura,76,68,-69.32461361092872,-144.0631295475804,64.46,16.73
Schertz,20,24,29.56070883820327,-98.24507129355388,69.3,9.17
Hithadhoo,92,100,-2.7377631133485636,68.90916273839136,82.64,9.8
Torbay,20,100,40.29695288058221,-48.798884394687036,35.6,17.22
Butaritari,80,100,3.239628749596278,165.62536141166447,82.91,13.04
Port Alfred,80,92,-44.305710815636274,32.35993420420465,66.44,7.45
Forio,0,100,40.00088339996489,13.726291314983882,49.39,6.11
Punta Arenas,75,98,-89.03651105091087,-112.8325067362686,46.4,16.11
Porto Novo,75,78,14.847741184437155,-33.60609083976266,75.2,11.41
Gobabis,0,56,-22.663595393092052,18.762969744159818,69.8,1.12
Ixcatepec,92,88,21.35149238130481,-97.97781464765795,65.0,3.53
Cockburn Town,8,97,22.53245680155422,-70.8560992838218,78.86,3.2
Ushuaia,20,75,-77.92050988686167,-45.785606180684425,42.8,24.16
Cape Town,75,82,-60.80620951534179,-13.52043639174255,64.4,13.87
Albany,75,69,-71.74978622708062,97.42884155367835,31.62,13.87
Belmonte,92,97,-18.188612362674675,-31.357035274763746,45.11,11.14
Ushuaia,20,75,-60.067509661126465,-53.02004787480142,42.8,24.16
Atuona,76,100,-7.866721555920563,-145.0776269964034,80.48,14.5
Puerto Ayora,20,74,1.1145965588397644,-94.57880915426176,84.2,6.93
East London,0,100,-66.20805512668562,48.47266713482264,69.5,8.46
Jacareacanga,8,88,-5.727701489808595,-57.775335220332806,78.23,2.53
Bluff,0,46,-83.97626031765532,162.37462165273962,81.65,9.46
Punta Arenas,75,98,-76.64338963345705,-90.21377779159297,46.4,16.11
Dikson,68,100,74.99770303985633,84.72344469383637,-4.49,28.59
Hermanus,92,99,-88.37448733542138,8.444709869918853,62.84,3.53
Hermanus,92,99,-85.18803134294672,1.0473561527154516,62.84,3.53
Tiksi,48,42,89.15471524789362,132.80134675921454,-27.26,4.43
Port Hedland,0,57,-16.3056969898703,118.36836452266726,78.8,8.05
Pevek,32,100,85.69470319664092,166.2357465639871,-22.13,1.63
Victoria,75,94,-5.351385156510489,51.08722134964668,77.0,1.12
Vaini,36,70,-67.00622987314476,-177.00370946208315,72.74,2.53
Rikitea,0,100,-45.48177256531599,-137.2626329352329,82.1,8.23
Takoradi,8,100,-2.904664180075784,-1.203716352527465,80.66,8.79
Adrar,0,34,28.113770691483296,-2.9801954727260522,69.8,5.82
Mount Isa,0,39,-17.87373929682748,139.88992526375097,80.6,4.7
Yarmouth,100,81,42.09949074155534,-66.99738774465864,47.34,19.46
Mataura,76,68,-62.7610448487991,-160.10163493139115,64.46,16.73
Rikitea,0,100,-25.508063915239404,-110.6647343639331,82.1,8.23
Isangel,20,96,-20.702642116993047,171.95068175882773,83.36,14.61
New Norfolk,75,51,-83.08779152669806,127.78677671336447,60.8,11.41
Port Elizabeth,20,44,-76.40270333475178,30.594896730026818,37.74,21.92
Namatanai,32,99,-3.203072636754314,155.1668802596309,83.54,7.67
Yar-Sale,20,58,74.50730585831667,71.20932331224367,-19.88,7.11
Saint-Philippe,90,96,-51.249693772146784,64.91621189369542,32.11,6.93
Bluff,0,46,-80.74202759034907,158.4176537830176,81.65,9.46
Mount Isa,0,39,-20.826147472895244,136.35280563446997,80.6,4.7
Vanimo,88,100,-2.675314949764484,141.6972595067175,79.4,12.15
